year,state,winner
2000,Maryland,democrat
2000,Massachusetts,democrat
2000,Michigan,democrat
2000,Minnesota,democrat
2000,Mississippi,republican
2000,Missouri,republican
2000,Montana,republican
2000,Nebraska,republican
2000,Nevada,republican
2000,New Hampshire,republican
2000,New Jersey,democrat
2000,New Mexico,democrat
2000,New York,democrat
2000,North Carolina,republican
2000,North Dakota,republican
2000,Ohio,republican
2000,Oklahoma,republican
2000,Oregon,democrat
2000,Pennsylvania,democrat
2000,Rhode Island,democrat
2000,South Carolina,republican
2000,South Dakota,republican
2000,Tennessee,republican
2000,Texas,republican
2000,Utah,republican
2000,Vermont,democrat
2000,Virginia,republican
2000,Washington,democrat
2000,West Virginia,republican
2000,Wisconsin,democrat
2000,Wyoming,republican
2004,Alabama,republican
2004,Alaska,republican
2004,Arizona,republican
2004,Arkansas,republican
2004,California,democrat
2004,Colorado,republican
2004,Connecticut,democrat
2004,Delaware,democrat
2004,District of Columbia,democrat
2004,Florida,republican
2004,Georgia,republican
2004,Hawaii,democrat
2004,Idaho,republican
2004,Illinois,democrat
2004,Indiana,republican
2004,Iowa,republican
2004,Kansas,republican
2004,Kentucky,republican
2004,Louisiana,republican
2004,Maine,democrat
2004,Maryland,democrat
2004,Maryland,republican
2004,Massachusetts,democrat
2004,Michigan,democrat
2004,Minnesota,democrat
2004,Mississippi,republican
2004,Missouri,republican
2004,Montana,republican
2004,Nebraska,republican
2004,Nevada,republican
2004,New Hampshire,democrat
2004,New Jersey,democrat
2004,New Mexico,republican
2004,New York,democrat
2004,North Carolina,republican
2004,North Dakota,republican
2004,Ohio,republican
2004,Oklahoma,republican
2004,Oregon,democrat
2004,Pennsylvania,democrat
2004,Rhode Island,democrat
2004,South Carolina,republican
2004,South Dakota,republican
2004,Tennessee,republican
2004,Texas,republican
2004,Utah,republican
2004,Vermont,democrat
2004,Virginia,republican
2004,Washington,democrat
2004,West Virginia,republican
2004,Wisconsin,democrat
2004,Wyoming,republican
2008,Alabama,republican
2008,Alaska,republican
2008,Arizona,republican
2008,Arkansas,republican
2008,California,democrat
2008,Colorado,democrat
2008,Connecticut,democrat
2008,Delaware,democrat
2008,District of Columbia,democrat
2008,Florida,democrat
2008,Georgia,republican
2008,Hawaii,democrat
2008,Idaho,republican
2008,Illinois,democrat
2008,Indiana,democrat
2008,Iowa,democrat
2008,Kansas,republican
2008,Kentucky,republican
2008,Louisiana,republican
2008,Maine,democrat
2008,Maryland,democrat
2008,Massachusetts,democrat
2008,Michigan,democrat
2008,Minnesota,democrat
2008,Mississippi,republican
2008,Missouri,republican
2008,Montana,republican
2008,Nebraska,republican
2008,Nevada,democrat
2008,New Hampshire,democrat
2008,New Jersey,democrat
2008,New Mexico,democrat
2008,New York,democrat
2008,North Carolina,democrat
2008,North Dakota,republican
2008,Ohio,democrat
2008,Oklahoma,republican
2008,Oregon,democrat
2008,Pennsylvania,democrat
2008,Rhode Island,democrat
2008,South Carolina,republican
2008,South Dakota,republican
2008,Tennessee,republican
2008,Texas,republican
2008,Utah,republican
2008,Vermont,democrat
2008,Virginia,democrat
2008,Washington,democrat
2008,West Virginia,republican
2008,Wisconsin,democrat
2008,Wyoming,republican
2012,Alabama,republican
2012,Alaska,republican
2012,Arizona,republican
2012,Arkansas,republican
2012,California,democrat
2012,Colorado,democrat
2012,Connecticut,democrat
2012,Delaware,democrat
2012,District of Columbia,democrat
2012,Florida,democrat
2012,Georgia,republican
2012,Hawaii,democrat
2012,Idaho,republican
2012,Illinois,democrat
2012,Indiana,republican
2012,Iowa,democrat
2012,Kansas,republican
2012,Kentucky,republican
2012,Louisiana,republican
2012,Maine,democrat
2012,Maryland,democrat
2012,Massachusetts,democrat
2012,Michigan,democrat
2012,Minnesota,democrat
2012,Mississippi,republican
2012,Missouri,republican
2012,Montana,republican
2012,Nebraska,republican
2012,Nevada,democrat
2012,New Hampshire,democrat
2012,New Jersey,democrat
2012,New Mexico,democrat
2012,New York,democrat
2012,North Carolina,republican
2012,North Dakota,republican
2012,Ohio,democrat
2012,Oklahoma,republican
2012,Oregon,democrat
2012,Pennsylvania,democrat
2012,Rhode Island,democrat
2012,South Carolina,republican
2012,South Dakota,republican
2012,Tennessee,republican
2012,Texas,republican
2012,Utah,republican
2012,Vermont,democrat
2012,Virginia,democrat
2012,Washington,democrat
2012,West Virginia,republican
2012,Wisconsin,democrat
2012,Wyoming,republican
2016,Alabama,republican
2016,Alaska,republican
2016,Arizona,republican
2016,Arizona,democrat
2016,Arkansas,republican
2016,California,democrat
2016,Colorado,democrat
2016,Connecticut,democrat
2016,Delaware,democrat
2016,District of Columbia,democrat
2016,Florida,republican
2016,Georgia,republican
2016,Hawaii,democrat
2016,Idaho,republican
2016,Illinois,democrat
2016,Indiana,republican
2016,Iowa,republican
2016,Kansas,republican
2016,Kentucky,republican
2016,Louisiana,republican
2016,Maine,democrat
2016,Maryland,democrat
2016,Maryland,republican
2016,Maryland,republican
2016,Massachusetts,democrat
2016,Michigan,republican
2016,Minnesota,democrat
2016,Mississippi,republican
2016,Missouri,republican
2016,Montana,republican
2016,Nebraska,republican
2016,Nevada,democrat
2016,New Hampshire,democrat
2016,New Jersey,democrat
2016,New Mexico,democrat
2016,New York,democrat
2016,North Carolina,republican
2016,North Dakota,republican
2016,Ohio,republican
2016,Oklahoma,republican
2016,Oregon,democrat
2016,Pennsylvania,republican
2016,Rhode Island,democrat
2016,South Carolina,republican
2016,South Dakota,republican
2016,Tennessee,republican
2016,Texas,republican
2016,Utah,republican
2016,Vermont,democrat
2016,Virginia,democrat
2016,Washington,democrat
2016,West Virginia,republican
2016,Wisconsin,republican
2016,Wyoming,republican
2020,Alabama,democrat
2020,Alaska,democrat
2020,Arizona,democrat
2020,Arizona,democrat
2020,Arkansas,democrat
2020,California,democrat
2020,Colorado,democrat
2020,Connecticut,democrat
2020,Delaware,democrat
2020,District of Columbia,democrat
2020,Florida,democrat
2020,Georgia,democrat
2020,Hawaii,democrat
2020,Idaho,democrat
2020,Illinois,democrat
2020,Indiana,democrat
2020,Iowa,democrat
2020,Kansas,democrat
2020,Kentucky,democrat
2020,Louisiana,democrat
2020,Maine,democrat
2020,Maryland,democrat
2020,Maryland,democrat
2020,Maryland,democrat
2020,Massachusetts,democrat
2020,Michigan,democrat
2020,Minnesota,democrat
2020,Mississippi,democrat
2020,Missouri,democrat
2020,Montana,democrat
2020,Nebraska,democrat
2020,Nevada,democrat
2020,New Hampshire,democrat
2020,New Jersey,democrat
2020,New Mexico,democrat
2020,New York,democrat
2020,North Carolina,democrat
2020,North Dakota,democrat
2020,Ohio,democrat
2020,Oklahoma,democrat
2020,Oregon,democrat
2020,Pennsylvania,democrat
2020,Rhode Island,democrat
2020,South Carolina,democrat
2020,South Dakota,democrat
2020,Tennessee,democrat
2020,Texas,democrat
2020,Utah,democrat
2020,Vermont,democrat
2020,Virginia,democrat
2020,Washington,democrat
2020,West Virginia,democrat
2020,Wisconsin,democrat
2020,Wyoming,democrat
